region,year,variable,unit,value
USA,2021,labor-force,thous pers,162002.0
USA,2021,population,thous pers,340354.0
USA,2021,savings-rate,rate annual,0.170984
USA,2021,fac-share-labor,share,0.597192
USA,2021,fac-share-capital,share,0.213201
USA,2021,fac-share-energy,share,0.189607
USA,2021,energy-service,million 1990$,2628750.0
USA,2021,total-factor-productivity,million 1990$,0.0
USA,2025,GDP,million 1990$,13741300.0
USA,2025,energy-investment,million 1990$,262248.0
USA,2025,consumer-durable,million 1990$,240039.0
USA,2025,value-added,million 1990$,11119000.0
USA,2025,gross-output,million 1990$,13757300.0
USA,2025,savings,million 1990$,2512190.0
USA,2025,investment,million 1990$,3017590.0
USA,2025,capital-stock,million 1990$,38143700.0
USA,2025,depreciation,million 1990$,1790070.0
USA,2025,energy-service-value,million 1990$,2638250.0
USA,2025,energy-net-export,million 1990$,-15989.3
USA,2025,materials-net-export,million 1990$,-489406.0
USA,2025,capital-net-export,million 1990$,505396.0
USA,2025,labor-wages,million 1990$,8230440.0
USA,2025,gdp-per-capita,thous 1990$ percap,39.7702
USA,2025,gdp-per-capita-ppp,thous 1990$ percap,37.6444
USA,2025,labor-force,thous pers,162376.0
USA,2025,population,thous pers,345517.0
USA,2025,savings-rate,rate annual,0.176985
USA,2025,fac-share-labor,share,0.598261
USA,2025,fac-share-capital,share,0.209967
USA,2025,fac-share-energy,share,0.191772
USA,2025,energy-service,million 1990$,2750390.0
USA,2025,total-factor-productivity,million 1990$,1.08583
USA,2030,GDP,million 1990$,15070900.0
USA,2030,energy-investment,million 1990$,204665.0
USA,2030,consumer-durable,million 1990$,365860.0
USA,2030,value-added,million 1990$,12156300.0
USA,2030,gross-output,million 1990$,15077800.0
USA,2030,savings,million 1990$,2867930.0
USA,2030,investment,million 1990$,3120620.0
USA,2030,capital-stock,million 1990$,41398300.0
USA,2030,depreciation,million 1990$,1899290.0
USA,2030,energy-service-value,million 1990$,2921530.0
USA,2030,energy-net-export,million 1990$,-6933.03
USA,2030,materials-net-export,million 1990$,-245765.0
USA,2030,capital-net-export,million 1990$,252698.0
USA,2030,labor-wages,million 1990$,9055650.0
USA,2030,gdp-per-capita,thous 1990$ percap,42.6866
USA,2030,gdp-per-capita-ppp,thous 1990$ percap,40.405
USA,2030,labor-force,thous pers,162295.0
USA,2030,population,thous pers,353058.0
USA,2030,savings-rate,rate annual,0.179614
USA,2030,fac-share-labor,share,0.600595
USA,2030,fac-share-capital,share,0.205641
USA,2030,fac-share-energy,share,0.193764
USA,2030,energy-service,million 1990$,2880770.0
USA,2030,total-factor-productivity,million 1990$,1.15993
USA,2035,GDP,million 1990$,16266600.0
USA,2035,energy-investment,million 1990$,238424.0
USA,2035,consumer-durable,million 1990$,479624.0
USA,2035,value-added,million 1990$,13083500.0
USA,2035,gross-output,million 1990$,16262900.0
USA,2035,savings,million 1990$,3185050.0
USA,2035,investment,million 1990$,3185050.0
USA,2035,capital-stock,million 1990$,43902100.0
USA,2035,depreciation,million 1990$,2061350.0
USA,2035,energy-service-value,million 1990$,3179390.0
USA,2035,energy-net-export,million 1990$,3678.88
USA,2035,materials-net-export,million 1990$,-3678.88
USA,2035,capital-net-export,million 1990$,0.0
USA,2035,labor-wages,million 1990$,9787200.0
USA,2035,gdp-per-capita,thous 1990$ percap,45.1278
USA,2035,gdp-per-capita-ppp,thous 1990$ percap,42.7157
USA,2035,labor-force,thous pers,162912.0
USA,2035,population,thous pers,360456.0
USA,2035,savings-rate,rate annual,0.179629
USA,2035,fac-share-labor,share,0.601811
USA,2035,fac-share-capital,share,0.202689
USA,2035,fac-share-energy,share,0.195499
USA,2035,energy-service,million 1990$,2997920.0
USA,2035,total-factor-productivity,million 1990$,1.22384
USA,2040,GDP,million 1990$,17389200.0
USA,2040,energy-investment,million 1990$,312381.0
USA,2040,consumer-durable,million 1990$,475278.0
USA,2040,value-added,million 1990$,13964800.0
USA,2040,gross-output,million 1990$,17390800.0
USA,2040,savings,million 1990$,3438000.0
USA,2040,investment,million 1990$,3438000.0
USA,2040,capital-stock,million 1990$,46318900.0
USA,2040,depreciation,million 1990$,2186020.0
USA,2040,energy-service-value,million 1990$,3425940.0
USA,2040,energy-net-export,million 1990$,-1564.04
USA,2040,materials-net-export,million 1990$,1564.04
USA,2040,capital-net-export,million 1990$,0.0
USA,2040,labor-wages,million 1990$,10489000.0
USA,2040,gdp-per-capita,thous 1990$ percap,47.3278
USA,2040,gdp-per-capita-ppp,thous 1990$ percap,44.7981
USA,2040,labor-force,thous pers,162841.0
USA,2040,population,thous pers,367421.0
USA,2040,savings-rate,rate annual,0.178425
USA,2040,fac-share-labor,share,0.603133
USA,2040,fac-share-capital,share,0.199869
USA,2040,fac-share-energy,share,0.196998
USA,2040,energy-service,million 1990$,3095680.0
USA,2040,total-factor-productivity,million 1990$,1.28689
USA,2045,GDP,million 1990$,18481200.0
USA,2045,energy-investment,million 1990$,290587.0
USA,2045,consumer-durable,million 1990$,515079.0
USA,2045,value-added,million 1990$,14843100.0
USA,2045,gross-output,million 1990$,18504000.0
USA,2045,savings,million 1990$,3654340.0
USA,2045,investment,million 1990$,3654340.0
USA,2045,capital-stock,million 1990$,48855000.0
USA,2045,depreciation,million 1990$,2306350.0
USA,2045,energy-service-value,million 1990$,3660960.0
USA,2045,energy-net-export,million 1990$,-22866.3
USA,2045,materials-net-export,million 1990$,22866.3
USA,2045,capital-net-export,million 1990$,0.0
USA,2045,labor-wages,million 1990$,11189900.0
USA,2045,gdp-per-capita,thous 1990$ percap,49.4393
USA,2045,gdp-per-capita-ppp,thous 1990$ percap,46.7968
USA,2045,labor-force,thous pers,163419.0
USA,2045,population,thous pers,373815.0
USA,2045,savings-rate,rate annual,0.176754
USA,2045,fac-share-labor,share,0.604726
USA,2045,fac-share-capital,share,0.197427
USA,2045,fac-share-energy,share,0.197847
USA,2045,energy-service,million 1990$,3179060.0
USA,2045,total-factor-productivity,million 1990$,1.34488
USA,2050,GDP,million 1990$,19562500.0
USA,2050,energy-investment,million 1990$,356138.0
USA,2050,consumer-durable,million 1990$,448071.0
USA,2050,value-added,million 1990$,15693900.0
USA,2050,gross-output,million 1990$,19589500.0
USA,2050,savings,million 1990$,3852930.0
USA,2050,investment,million 1990$,3852930.0
USA,2050,capital-stock,million 1990$,51637000.0
USA,2050,depreciation,million 1990$,2432640.0
USA,2050,energy-service-value,million 1990$,3895650.0
USA,2050,energy-net-export,million 1990$,-27014.6
USA,2050,materials-net-export,million 1990$,27014.6
USA,2050,capital-net-export,million 1990$,0.0
USA,2050,labor-wages,million 1990$,11879200.0
USA,2050,gdp-per-capita,thous 1990$ percap,51.5041
USA,2050,gdp-per-capita-ppp,thous 1990$ percap,48.7512
USA,2050,labor-force,thous pers,163471.0
USA,2050,population,thous pers,379824.0
USA,2050,savings-rate,rate annual,0.174852
USA,2050,fac-share-labor,share,0.606404
USA,2050,fac-share-capital,share,0.194732
USA,2050,fac-share-energy,share,0.198864
USA,2050,energy-service,million 1990$,3264700.0
USA,2050,total-factor-productivity,million 1990$,1.40071
USA,2055,GDP,million 1990$,20662600.0
USA,2055,energy-investment,million 1990$,327441.0
USA,2055,consumer-durable,million 1990$,493313.0
USA,2055,value-added,million 1990$,16552100.0
USA,2055,gross-output,million 1990$,20680300.0
USA,2055,savings,million 1990$,4041140.0
USA,2055,investment,million 1990$,4041140.0
USA,2055,capital-stock,million 1990$,54650400.0
USA,2055,depreciation,million 1990$,2571160.0
USA,2055,energy-service-value,million 1990$,4128110.0
USA,2055,energy-net-export,million 1990$,-17641.2
USA,2055,materials-net-export,million 1990$,17641.2
USA,2055,capital-net-export,million 1990$,0.0
USA,2055,labor-wages,million 1990$,12581000.0
USA,2055,gdp-per-capita,thous 1990$ percap,53.6736
USA,2055,gdp-per-capita-ppp,thous 1990$ percap,50.8047
USA,2055,labor-force,thous pers,163358.0
USA,2055,population,thous pers,384968.0
USA,2055,savings-rate,rate annual,0.173206
USA,2055,fac-share-labor,share,0.60836
USA,2055,fac-share-capital,share,0.192024
USA,2055,fac-share-energy,share,0.199616
USA,2055,energy-service,million 1990$,3339310.0
USA,2055,total-factor-productivity,million 1990$,1.45662
USA,2060,GDP,million 1990$,21794900.0
USA,2060,energy-investment,million 1990$,319564.0
USA,2060,consumer-durable,million 1990$,513461.0
USA,2060,value-added,million 1990$,17436700.0
USA,2060,gross-output,million 1990$,21807300.0
USA,2060,savings,million 1990$,4234390.0
USA,2060,investment,million 1990$,4234390.0
USA,2060,capital-stock,million 1990$,57784600.0
USA,2060,depreciation,million 1990$,2721210.0
USA,2060,energy-service-value,million 1990$,4370590.0
USA,2060,energy-net-export,million 1990$,-12382.2
USA,2060,materials-net-export,million 1990$,12382.2
USA,2060,capital-net-export,million 1990$,0.0
USA,2060,labor-wages,million 1990$,13307700.0
USA,2060,gdp-per-capita,thous 1990$ percap,55.8929
USA,2060,gdp-per-capita-ppp,thous 1990$ percap,52.9054
USA,2060,labor-force,thous pers,163129.0
