Model,Scenario,Region,Variable,Unit,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
GCAM 4.2,SSP1-Baseline,Asian countries except Japan,Final Energy|Transportation|Hydrogen,EJ/yr,0.0,0.002446737,0.014045433000000001,0.031865422000000004,0.055741704,0.086953414,0.118515938,0.14873935400000002,0.174422438999999,0.19140884
GCAM 4.2,SSP1-Baseline,Asian countries except Japan,Final Energy|Transportation|Liquids,EJ/yr,20.55078079,26.136453582,33.075016075,38.972898999,42.73677809300001,45.597211293,47.30183414800001,47.752215142,47.076928575,45.568497357
GCAM 4.2,SSP1-Baseline,Asian countries except Japan,Population,million,3758.607,4046.614,4216.628,4278.076,4228.3,4078.987,3851.657,3565.537000000001,3234.731,2878.462
GCAM 4.2,SSP1-Baseline,Asian countries except Japan,Primary Energy,EJ/yr,183.43320752,235.009979623,293.713941415,338.03135296,358.706042355,363.178548509,354.358874793,327.594673094,297.521948427,266.40848059
GCAM 4.2,SSP1-Baseline,Asian countries except Japan,Primary Energy|Biomass,EJ/yr,23.21659806,21.07294835,22.10794401,25.21078373,27.925107375,29.946851302,30.36107242,30.204102858,28.769559762,26.733336333
GCAM 4.2,SSP1-Baseline,Asian countries except Japan,Primary Energy|Coal,EJ/yr,89.0045685,119.203084,145.046479,158.056601,158.400252,156.01839,148.70749,123.95168,100.39478,78.6074
GCAM 4.2,SSP1-Baseline,Asian countries except Japan,Primary Energy|Fossil,EJ/yr,155.07137598,207.2607573,260.82475,295.247171,305.282167,300.856992,286.062788,250.97239,215.684627,182.705427
GCAM 4.2,SSP1-Baseline,Asian countries except Japan,Primary Energy|Gas,EJ/yr,18.653152,31.908393,53.74655,70.07267,76.95613,75.69918,67.81378000000001,58.65530699999999,50.428101,45.09334000000001
GCAM 4.2,SSP1-Baseline,Asian countries except Japan,Primary Energy|Nuclear,EJ/yr,1.0666115999999999,1.000500011,0.9623454490000001,0.8915562730000001,0.797367284,0.7431356290000001,0.716294732,0.8176884630000001,0.8260529160000001,0.7500447090000001
GCAM 4.2,SSP1-Baseline,Asian countries except Japan,Primary Energy|Oil,EJ/yr,47.41365548,56.14928029999999,62.031721,67.1179,69.925785,69.139422,69.54151800000001,68.365403,64.861746,59.004687
GCAM 4.2,SSP1-Baseline,Asian countries except Japan,Secondary Energy|Electricity,EJ/yr,25.111875411,37.36160179199999,51.508133661,65.896635615,77.453767443,84.31898327100001,88.95841312200001,89.590549376,87.84006527700001,83.897541842
GCAM 4.2,SSP1-Baseline,Asian countries except Japan,Secondary Energy|Electricity|Biomass,EJ/yr,0.08377909,0.333498776,0.813670865999999,1.477515093,2.079956491,2.518782345,2.8992255460000003,3.194802842,3.102689633,2.6349482330000003
GCAM 4.2,SSP1-Baseline,Asian countries except Japan,Secondary Energy|Electricity|Biomass|w/ CCS,EJ/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCAM 4.2,SSP1-Baseline,Asian countries except Japan,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,0.08377909,0.333498776,0.813670865999999,1.477515093,2.079956491,2.518782345,2.8992255460000003,3.194802842,3.102689633,2.6349482330000003
GCAM 4.2,SSP1-Baseline,Asian countries except Japan,Secondary Energy|Electricity|Coal,EJ/yr,16.24224297,24.347322874,30.798464233,34.81051315,36.174321879,36.557997012,36.86449818,30.41460619,24.09128203,18.07645723
GCAM 4.2,SSP1-Baseline,Asian countries except Japan,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCAM 4.2,SSP1-Baseline,Asian countries except Japan,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,16.24224297,24.347322874,30.798464233,34.81051315,36.174321879,36.557997012,36.86449818,30.41460619,24.09128203,18.07645723
GCAM 4.2,SSP1-Baseline,Asian countries except Japan,Secondary Energy|Electricity|Gas,EJ/yr,3.020705311,5.637818133,8.572130526,11.445926344,13.236265326,12.454097193,10.887737017,9.214474479,7.292519256,6.020245516
GCAM 4.2,SSP1-Baseline,Asian countries except Japan,Secondary Energy|Electricity|Gas|w/ CCS,EJ/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCAM 4.2,SSP1-Baseline,Asian countries except Japan,Secondary Energy|Electricity|Gas|w/o CCS,EJ/yr,3.020705311,5.637818133,8.572130526,11.445926344,13.236265326,12.454097193,10.887737017,9.214474479,7.292519256,6.020245516
GCAM 4.2,SSP1-Baseline,Asian countries except Japan,Secondary Energy|Electricity|Geothermal,EJ/yr,0.0700198,0.42895969899999903,1.012365675,1.402282964,1.6143787319999992,1.747869354,1.740077994,1.7749577140000001,1.6633626920000002,1.401494306999999
GCAM 4.2,SSP1-Baseline,Asian countries except Japan,Secondary Energy|Electricity|Hydro,EJ/yr,3.762164700000001,3.998137399999999,4.2348203,4.592930200000001,5.072475499999999,5.552012599999999,6.0315557,6.5110989,6.9906331999999995,7.2304088
GCAM 4.2,SSP1-Baseline,Asian countries except Japan,Secondary Energy|Electricity|Non-Biomass Renewables,EJ/yr,4.07862188,5.675773962,9.818901956,16.681841957,24.701400696,31.631569578,37.218719641,45.600491773,52.241708749,56.219672548
GCAM 4.2,SSP1-Baseline,Asian countries except Japan,Secondary Energy|Electricity|Nuclear,EJ/yr,1.0666115999999999,1.000500011,0.9623454490000001,0.8915562730000001,0.797367284,0.7431356290000001,0.716294732,0.8176884630000001,0.8260529160000001,0.7500447090000001
GCAM 4.2,SSP1-Baseline,Asian countries except Japan,Secondary Energy|Electricity|Oil,EJ/yr,0.61991456,0.36668803600000005,0.542620631,0.589282797999999,0.464455767,0.413401513999998,0.37193800600000004,0.348485628999999,0.285812693,0.19617360600000003
GCAM 4.2,SSP1-Baseline,Asian countries except Japan,Secondary Energy|Electricity|Solar,EJ/yr,0.00721428,0.458502295,1.796135126,5.108658027,10.142795956,15.805624326,21.105325717,27.293056559,32.735780144,36.930380541
GCAM 4.2,SSP1-Baseline,Asian countries except Japan,Secondary Energy|Electricity|Wind,EJ/yr,0.2392231,0.7901745680000001,2.7755808550000003,5.577970766,7.871750508,8.526063298,8.34176023,10.0213786,10.851932713,10.6573889
GCAM 4.2,SSP1-Baseline,Asian countries except Japan,Secondary Energy|Hydrogen,EJ/yr,0.0,0.07457928400000001,0.21086621400000002,0.401315835,0.617774774,0.707096997999999,0.765783057,0.7779600170000001,0.7584577560000001,0.69738735
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Capacity|Electricity,GW,297.486780514886,364.738955161979,421.227507098201,474.7224113357331,511.727165013073,546.065946860923,571.557537138958,580.123440903644,571.399580064862,554.192999770228
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Capacity|Electricity|Biomass,GW,1.36414732369355,2.49066479578894,4.05533751109843,6.00040969051244,7.81252639840183,10.3741665081177,11.5832540984906,11.8643004819888,11.3850494672755,9.4634003202689
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Capacity|Electricity|Coal,GW,66.892559297311,88.2292019438103,95.7373105339928,96.7811382229832,94.1307347158803,94.6654085806697,94.6567946156774,74.8606029616946,64.3337003741755,52.8794643423389
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Capacity|Electricity|Gas,GW,129.355593607306,178.681490677321,193.459083745561,192.447237284374,178.775101661593,125.621041032471,93.6454405758498,70.7209947678842,50.80718845129379,35.510919710806704
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Capacity|Electricity|Nuclear,GW,44.44810868707371,40.8968740487062,35.4898968022436,26.679384301539,17.5914977944078,12.3163607376402,8.01637127233778,7.238254340718192,6.88382906308134,6.068716176221889
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Capacity|Electricity|Oil,GW,21.8497019279554,4.36099988901573,4.24364856830289,3.4522282470827,2.22080796549974,2.30587955035515,1.6139394660071,1.40802852295789,1.53166412988331,1.09534294140031
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Capacity|Electricity|Solar,GW,0.381844558599696,6.958545621207019,16.3367317348095,33.23629717542681,50.7744215225947,81.1678664219898,109.06088969283,137.496915844945,162.066420871136,181.171874593181
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Capacity|Electricity|Wind,GW,1.1314657775845,5.37984328316139,26.18486622603849,63.4446457326892,102.414117739132,154.794326920028,185.070788675377,205.791090519161,201.117896055302,195.103756341959
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Emissions|CH4,Mt CH4/yr,35.540279537,51.48343933899999,62.964551199,66.377769525,59.178497137,48.235013891,43.62407912800001,38.573552215,32.350240796,26.457081432
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Emissions|CH4|Energy,Mt CH4/yr,24.580523278,41.686229967,53.711130543,57.560575378,50.70090600899999,40.105142649,35.915635784,31.371587593,25.713856024000002,20.404146553
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Emissions|CO2,Mt CO2/yr,2318.50324816733,2836.86243796871,2761.9525208759,2938.9375978534,2857.74986596733,2888.527422253,2614.278619788,2216.368159357,1923.53928536733,1628.69941687567
